model,manufacture,color,msrp,engine.cylinder,engine.stroke,displacement,bore,stroke,comp.ratio,starter,transmission,lubricator,final.drive,cooling,clutch,ignition,frame,front.suspension,rear.suspension,front.brake,rear.brake,wheelbase,seat.height,overall.length,overall.width,overall.height,clearance,fuel.cap,total.weight
HusabergFC450,Husaberg,blue/yellow,8998,1,4,449,100,57,13,kick,4,oil,,,wet multi-disc,digital,,WP,WP_PDS,caliper,caliper,58,36,,,,14.9,2.37,227
HusabergFC550,Husaberg,blue/yellow,8998,1,4,549,100,57,11.8,kick,4,oil,,,wet multi-disc,,,WP,WP_PDS,caliper,caliper,58,36,,,,14.9,2.37,227
HusqvarnaTC250,Husqvarna,blue/yellow,5999,1,4,249,76,55,,,5,,,liquid,,digital,,Marzocchi telescopic,single shock,disc,disc,58,38,,,,13.4,2.4,212
HusqvarnaTC510,Husqvarna,blue/yellow,6899,1,4,501,97,67,,,5,,,liquid,,digital,,Marzocchi telescopic,single shock,disc,disc,58,38.3,,,,13.4,2.4,235
HusqvarnaTC450,Husqvarna,blue/yellow,6499,1,4,449,97,60,,,5,,,liquid,,digital,,Marzocchi telescopic,single shock,disc,disc,58,38,,,,13.4,2.4,231
HusqvarnaTE250,Husqvarna,blue/yellow,6299,1,4,249,76,55,,,6,,,liquid,,digital,,Marzocchi inverted tele,single shock,disc,disc,58,38,,,,13.4,2.4,232
HusqvarnaTE450,Husqvarna,blue/yellow,6889,1,4,449,97,60,,kick,6,,,liquid,,digital,,Marzocchi inverted tele,single shock,disc,disc,57,38,,,,13.4,2.4,237
HusqvarnaTE510,Husqvarna,blue/yellow,7199,1,4,501,97,67,,kick,6,,,liquid,,digital,,Marzocchi inverted tele,single shock,disc,disc,57,37,,,,13.4,2.4,239
HusqvarnaTE510C,Husqvarna,red/white,19500,1,4,501,97,68,,kick,6,,,liquid,,digital,,Marzocchi inverted tele,single shock,disc,disc,57,37,,,,13.4,2.4,238
HusqvarnaSM510R,Husqvarna,red/white,6799,1,4,501,97,67.8,,kick,6,,,liquid,,digital,,Marzocchi inverted tele,single shock,disc,disc,58.86,35.83,,,,10.63,2.4,241
HusqvarnaSM450R,Husqvarna,blue/yellow,7299,1,4,449,97,60.67,,kick,6,,,liquid,,digital,,Marzocchi inverted tele,single shock,disc,disc,58.86,35.83,,,,10.63,2.4,240
GasGasPRO125,GasGas,yellow/black,5199,1,2,124.8,54,54.5,,,6,,,liquid,,digital,chromoly,Marzocchi telescopic,link type,piston,piston,51.97,25,,,,13.6,0.8,139
GasGasPRO200,GasGas,yellow/black,5299,1,2,175.3,64,54.5,,,6,,,liquid,,digital,chromoly,Marzocchi telescopic,link type,piston,piston,51.97,25,,,,13.6,0.8,141
GasGasPRO280,GasGas,red/black,6249,1,2,272.2,76,60,,,6,,,liquid,,digital,chromoly,Marzocchi telescopic,link type,piston,piston,51.97,25,,,,13.6,0.8,145
GasGasPRO280,GasGas,blue/black,6249,1,2,272.2,76,60,,,6,,,liquid,,digital,chromoly,Marzocchi telescopic,link type,piston,piston,51.97,25,,,,13.6,0.8,145
GasGasPRO300,GasGas,silver,6249,1,2,294.1,79,60,,,6,,,liquid,,digital,chromoly,Marzocchi telescopic,link type,piston,piston,51.97,25,,,,13.6,0.8,146
ATK450ENDURO,ATK,blue,7895,1,4,449,97,61,12.5,electric,5,,,liquid,,digital,,Ohlins fork,Ohlins shock,piston,piston,58.5,38,,,,14.2,2.6,245
ATK450XC,ATK,blue,7595,1,4,449,97,61,12.5,electric,5,,,liquid,,digital,,Ohlins fork,Ohlins shock,piston,piston,58.5,,,,,,2.6,242
ATK450MX,ATK,blue,7295,1,4,449,97,61,12.5,electric,5,,,liquid,,digital,,Ohlins fork,Ohlins shock,piston,piston,58.5,,,,,,2,242
